siparis_id,toplam_tutar,saat,gun_no,hava_durumu,sicaklik_c,urun_sayisi,hafta_sonu,kisi_sayisi,yas_grubu
2000,60.0,0,0,Bulutlu,8.0,1,1,1,25-34
2001,45.0,1,0,Güneşli,16.0,1,1,1,25-34
2002,130.0,1,0,Güneşli,23.0,1,1,1,25-34
2003,735.0,8,0,Soğuk/Karlı,9.0,2,1,1,25-34
2004,495.0,8,0,Bulutlu,16.0,2,1,1,25-34
2005,495.0,8,0,Yağmurlu,8.0,2,1,1,25-34
2006,530.0,8,0,Yağmurlu,22.0,2,1,1,25-34
2007,530.0,8,0,Bulutlu,8.0,2,1,1,25-34
2008,460.0,8,0,Yağmurlu,13.0,2,1,1,25-34
2009,1005.0,8,0,Soğuk/Karlı,17.0,2,1,1,25-34
2010,700.0,8,0,Bulutlu,17.0,2,1,1,25-34
2011,495.0,8,0,Bulutlu,22.0,2,1,1,25-34
2012,1005.0,8,0,Soğuk/Karlı,20.0,2,1,1,25-34
2013,665.0,8,0,Yağmurlu,23.0,2,1,1,25-34
2014,700.0,9,0,Soğuk/Karlı,17.0,2,1,1,25-34
2015,630.0,9,0,Yağmurlu,12.0,2,1,1,25-34
2016,700.0,9,0,Güneşli,15.0,2,1,1,25-34
2017,630.0,9,0,Yağmurlu,10.0,2,1,1,25-34
2018,1075.0,9,0,Yağmurlu,9.0,2,1,1,25-34
2019,425.0,10,0,Bulutlu,8.0,2,1,1,25-34
2020,970.0,10,0,Soğuk/Karlı,23.0,2,1,1,25-34
2021,1005.0,10,0,Bulutlu,12.0,2,1,1,25-34
2022,425.0,10,0,Güneşli,10.0,2,1,1,25-34
2023,460.0,10,0,Soğuk/Karlı,21.0,2,1,1,25-34
2024,495.0,10,0,Bulutlu,9.0,2,1,1,25-34
2025,665.0,10,0,Bulutlu,26.0,2,1,1,25-34
2026,1005.0,10,0,Bulutlu,11.0,2,1,1,25-34
2027,390.0,10,0,Güneşli,16.0,2,1,1,25-34
2028,115.0,11,0,Soğuk/Karlı,23.0,1,1,1,25-34
2029,350.0,11,0,Soğuk/Karlı,24.0,2,1,1,25-34
2030,115.0,11,0,Güneşli,24.0,1,1,1,25-34
2031,495.0,12,0,Güneşli,23.0,3,1,1,25-34
2032,535.0,12,0,Yağmurlu,23.0,3,1,1,25-34
2033,495.0,12,0,Güneşli,25.0,3,1,1,25-34
2034,445.0,12,0,Güneşli,20.0,2,1,1,25-34
2035,340.0,12,0,Soğuk/Karlı,20.0,2,1,1,25-34
2036,495.0,12,0,Soğuk/Karlı,12.0,3,1,1,25-34
2037,535.0,12,0,Yağmurlu,25.0,3,1,1,25-34
2038,355.0,12,0,Bulutlu,22.0,2,1,1,25-34
2039,325.0,12,0,Soğuk/Karlı,24.0,2,1,1,25-34
2040,355.0,12,0,Bulutlu,25.0,2,1,1,25-34
2041,585.0,12,0,Yağmurlu,24.0,3,1,1,25-34
2042,445.0,12,0,Bulutlu,8.0,2,1,1,25-34
2043,325.0,12,0,Bulutlu,24.0,2,1,1,25-34
2044,585.0,12,0,Güneşli,17.0,3,1,1,25-34
